"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","evidence_codes","intersection"
"query_1","TRUE","8.54721054748457e-88","74","93","58","0.623655913978495","0.783783783783784","GO:0019814","GO:CC","immunoglobulin complex","14735","792","GO:0032991","IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA IBA NAS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IDA IBA NAS IEA,IEA,IEA,IDA IBA NAS IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000211958,ENSG00000211968,ENSG00000211656,ENSG00000211644,ENSG00000211665,ENSG00000211961,ENSG00000211645,ENSG00000280411,ENSG00000211905"
"query_1","TRUE","9.40773197448361e-57","358","95","65","0.684210526315789","0.181564245810056","GO:0002250","GO:BP","adaptive immune response","14735","780","GO:0006955","IBA IEA,IBA IEA,IBA IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IBA NAS IEA,IEA,IBA IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IEA,IBA IEA,IEA,IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IBA IEA,IEA,IBA NAS IEA,IBA IEA,IBA IEA,IDA IBA NAS IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IEA,IEA,IEA,IEA,IBA IEA,IBA IEA,IEA,IEA,IEA,IEA,NAS IEA,IBA IEA,ISS IBA IEA,IEA,IDA,IBA IEA,NAS IEA,IEA,IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000048462,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211656,ENSG00000211644,ENSG00000211665,ENSG00000198851,ENSG00000211961,ENSG00000113263,ENSG00000211645,ENSG00000138378,ENSG00000280411,ENSG00000167286,ENSG00000211905,ENSG00000168918"
"query_1","TRUE","1.80275511033941e-56","84","80","42","0.525","0.5","GO:0003823","GO:MF","antigen binding","14735","355","GO:0005488","IBA,IBA NAS,IBA NAS,NAS,NAS,NAS,NAS,NAS,NAS,NAS,IBA,IBA NAS,IBA NAS,NAS,IBA,NAS,NAS,IBA NAS,NAS,NAS,IBA,NAS,NAS,IBA,IBA,NAS,IBA,NAS,IBA TAS,IBA NAS,IBA,IBA TAS,IBA,IBA NAS,NAS,NAS,NAS,IBA,IBA,TAS,NAS,IBA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000211660,ENSG00000211673,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000211653,ENSG00000271130,ENSG00000211976,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000251039,ENSG00000211599,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211644,ENSG00000211961"
"query_1","TRUE","2.48807894762413e-31","953","95","67","0.705263157894737","0.0703043022035677","GO:0006955","GO:BP","immune response","14735","2575","c(""GO:0002376"", ""GO:0050896"")","IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IEA,IBA NAS IEA,IBA NAS IEA,IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IDA IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IDA IBA NAS IEA,IBA NAS IEA,IBA IEA,IDA IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA IEA,IDA,IDA IEA,IBA IEA,IBA NAS IEA,IBA IEA,NAS IEA,IBA,IBA IEA,ISS IBA IEA,IBA IEA,IDA,IBA IEA,NAS IEA,IEA,IBA TAS IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000048462,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000211958,ENSG00000211968,ENSG00000162676,ENSG00000117090,ENSG00000211656,ENSG00000211644,ENSG00000211665,ENSG00000198851,ENSG00000181036,ENSG00000211961,ENSG00000113263,ENSG00000211645,ENSG00000138378,ENSG00000280411,ENSG00000167286,ENSG00000211905,ENSG00000168918"
"query_1","TRUE","1.78879494975708e-23","1337","95","68","0.715789473684211","0.0508601346297681","GO:0002376","GO:BP","immune system process","14735","904","GO:0008150","IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IEA,IBA NAS IEA,IBA NAS IEA,IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IDA IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IBA NAS IEA,IDA IBA NAS IEA,IBA NAS IEA,IBA IEA,IDA ISS IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA NAS IEA,IBA NAS IEA,IBA IEA,IBA IEA,IBA IEA,IDA,IDA IEA,IBA IEA,IBA NAS IEA,IBA IEA,IMP IBA NAS IEA,ISS,IBA,IBA IEA,ISS IBA TAS IEA,IBA IEA,IDA,IBA IEA,ISS IBA NAS IEA,IEA,IBA TAS IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000048462,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000211958,ENSG00000211968,ENSG00000162676,ENSG00000117090,ENSG00000211656,ENSG00000211644,ENSG00000211665,ENSG00000198851,ENSG00000100628,ENSG00000181036,ENSG00000211961,ENSG00000113263,ENSG00000211645,ENSG00000138378,ENSG00000280411,ENSG00000167286,ENSG00000211905,ENSG00000168918"
"query_1","TRUE","1.95509021654622e-18","93","99","24","0.242424242424242","0.258064516129032","GO:0019724","GO:BP","B cell mediated immunity","14735","5987","c(""GO:0002449"", ""GO:0002460"")","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,TAS","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000211961,ENSG00000280411,ENSG00000168918,ENSG00000101082"
"query_1","TRUE","1.21594315980328e-17","91","95","23","0.242105263157895","0.252747252747253","GO:0016064","GO:BP","immunoglobulin mediated immune response","14735","5070","GO:0019724","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000211961,ENSG00000280411,ENSG00000168918"
"query_1","TRUE","2.44449753974437e-14","188","99","26","0.262626262626263","0.138297872340426","GO:0002460","GO:BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","14735","981","GO:0002250","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IDA,IBA,IEA,TAS","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211961,ENSG00000138378,ENSG00000280411,ENSG00000168918,ENSG00000101082"
"query_1","TRUE","1.49609979348824e-13","179","99","25","0.252525252525253","0.139664804469274","GO:0002449","GO:BP","lymphocyte mediated immunity","14735","970","GO:0002443","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,TAS","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211961,ENSG00000280411,ENSG00000168918,ENSG00000101082"
"query_1","TRUE","4.69734410867786e-13","64","61","15","0.245901639344262","0.234375","GO:0072562","GO:CC","blood microparticle","14735","2746","c(""GO:0005615"", ""GO:0110165"")","HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA,HDA","ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000211949,ENSG00000211895,ENSG00000239975,ENSG00000242371,ENSG00000211648,ENSG00000211890,ENSG00000211899,ENSG00000211662,ENSG00000251039"
"query_1","TRUE","3.66260022446354e-11","241","99","25","0.252525252525253","0.103734439834025","GO:0002443","GO:BP","leukocyte mediated immunity","14735","964","GO:0002252","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IEA,IBA,IBA,IEA,TAS","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211961,ENSG00000280411,ENSG00000168918,ENSG00000101082"
"query_1","TRUE","2.43279530838312e-10","1920","74","54","0.72972972972973","0.028125","GO:0005576","GO:CC","extracellular region","14735","194","GO:0110165","IEA,TAS NAS IEA,HDA TAS NAS IEA,HDA IBA TAS NAS IEA,HDA IBA TAS NAS IEA,IBA TAS NAS IEA,IBA TAS NAS IEA,IEA,HDA IBA TAS NAS IEA,HDA IBA TAS NAS IEA,HDA IBA TAS NAS IEA,IEA,HDA TAS NAS IEA,IDA HDA IBA TAS NAS IEA,HDA IBA TAS NAS IEA,IEA,IBA TAS NAS IEA,IBA IEA,IBA TAS NAS IEA,TAS NAS IEA,HDA IBA TAS NAS IEA,IBA IEA,IBA IEA,HDA IBA TAS NAS IEA,IEA,HDA IBA TAS NAS IEA,IBA IEA,IBA IEA,IBA TAS NAS IEA,IBA IEA,IEA,IEA,IBA IEA,IBA TAS NAS IEA,IEA,HDA IBA TAS NAS IEA,IDA HDA IBA TAS NAS IEA,TAS NAS IEA,IEA,IDA HDA IBA NAS IEA,IBA TAS IEA,IEA,TAS NAS IEA,HDA IBA TAS NAS IEA,IBA IEA,IBA IEA,HDA IBA TAS NAS IEA,IBA TAS NAS IEA,IBA IEA,IEA,IEA,HDA IEA,IBA IEA,HDA IBA TAS NAS IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211656,ENSG00000211644"
"query_1","TRUE","6.72684764254441e-08","356","99","26","0.262626262626263","0.0730337078651685","GO:0002252","GO:BP","immune effector process","14735","782","GO:0002376","IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IBA,IDA IEA,IBA,IDA,IBA,IEA,TAS","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211952,ENSG00000211967,ENSG00000211957,ENSG00000271130,ENSG00000211976,ENSG00000211970,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000259680,ENSG00000211956,ENSG00000211958,ENSG00000211968,ENSG00000117090,ENSG00000211961,ENSG00000138378,ENSG00000280411,ENSG00000168918,ENSG00000101082"
"query_1","TRUE","3.0775514393227e-05","2597","56","45","0.803571428571429","0.0173276857912977","GO:0005886","GO:CC","plasma membrane","14735","409","c(""GO:0016020"", ""GO:0071944"")","IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,IEA,TAS IEA,TAS IEA,TAS IEA,IEA,TAS IEA,NAS IEA,TAS IEA,IEA,TAS IEA,IEA,TAS IEA,TAS IEA,TAS IEA,IEA,IEA,TAS IEA,IEA,TAS IEA,IEA,IEA,TAS IEA,IEA,IEA,IEA,IEA,TAS IEA,IEA,TAS IEA,NAS IEA,TAS IEA,IEA,IDA TAS NAS IEA,TAS IEA,IEA,TAS IEA,TAS IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000048462,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662"
"query_1","TRUE","0.000600818122491351","2832","56","45","0.803571428571429","0.0158898305084746","GO:0071944","GO:CC","cell periphery","14735","2725","GO:0110165","IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,TAS IEA,IEA,TAS IEA,TAS IEA,TAS IEA,IEA,TAS IEA,NAS IEA,TAS IEA,IEA,TAS IEA,IEA,TAS IEA,TAS IEA,TAS IEA,IEA,IEA,TAS IEA,IEA,TAS IEA,IEA,IEA,TAS IEA,IEA,IEA,IEA,IEA,TAS IEA,IEA,TAS IEA,NAS IEA,TAS IEA,IEA,IDA TAS NAS IEA,TAS IEA,IEA,TAS IEA,TAS IEA","ENSG00000211943,ENSG00000211941,ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000048462,ENSG00000211660,ENSG00000211673,ENSG00000211597,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000225698,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211952,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000211967,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211957,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000271130,ENSG00000211976,ENSG00000211664,ENSG00000211640,ENSG00000211970,ENSG00000211663,ENSG00000211890,ENSG00000211955,ENSG00000211965,ENSG00000211899,ENSG00000244116,ENSG00000259680,ENSG00000211956,ENSG00000211662"
"query_1","TRUE","0.00180708069468499","1524","76","39","0.513157894736842","0.0255905511811024","GO:0005615","GO:CC","extracellular space","14735","227","c(""GO:0005576"", ""GO:0110165"")","HDA,HDA IBA,HDA IBA,IBA,IBA,HDA IBA,HDA IBA,HDA IBA,HDA,IDA HDA IBA NAS,HDA IBA,IBA,IBA,IBA,HDA IBA,IBA,IBA,HDA IBA,HDA IBA,IBA,IBA,IBA,IBA,IBA,IBA,HDA IBA,IDA HDA IBA NAS,IDA HDA IBA NAS,IBA,HDA IBA,IBA,IBA,HDA IBA,IBA,IBA,HDA,IBA,HDA IBA,IBA","ENSG00000211938,ENSG00000211598,ENSG00000241351,ENSG00000211660,ENSG00000211673,ENSG00000243238,ENSG00000243466,ENSG00000240382,ENSG00000211949,ENSG00000211895,ENSG00000211666,ENSG00000211651,ENSG00000244575,ENSG00000278196,ENSG00000239975,ENSG00000224041,ENSG00000211670,ENSG00000242371,ENSG00000211648,ENSG00000239855,ENSG00000211637,ENSG00000211653,ENSG00000241566,ENSG00000211664,ENSG00000211640,ENSG00000211663,ENSG00000211890,ENSG00000211899,ENSG00000244116,ENSG00000211662,ENSG00000211649,ENSG00000211655,ENSG00000251039,ENSG00000211599,ENSG00000211642,ENSG00000117090,ENSG00000211656,ENSG00000211644,ENSG00000211665"
